INFO 2024-01-16 12:03:26,790 autoreload Watching for file changes with StatReloader
DEBUG 2024-01-16 12:03:26,790 autoreload Waiting for apps ready_event.
DEBUG 2024-01-16 12:03:26,796 autoreload Apps ready_event triggered. Sending autoreload_started signal.
DEBUG 2024-01-16 12:03:26,813 autoreload Watching dir /Volumes/Programming/BNY/Blog-master/templates with glob **/*.
DEBUG 2024-01-16 12:03:26,813 autoreload Watching dir /Volumes/Programming/BNY/Blog-master/locale with glob **/*.mo.
DEBUG 2024-01-16 12:03:26,813 autoreload Watching dir /Volumes/Programming/BNY/Blog-master/home/locale with glob **/*.mo.
DEBUG 2024-01-16 12:03:26,813 autoreload Watching dir /Volumes/Programming/BNY/Blog-master/blog/locale with glob **/*.mo.
DEBUG 2024-01-16 12:03:26,860 autoreload File /Volumes/Programming/BNY/Blog/.venv/lib/python3.8/site-packages/django/utils/deprecation.py first seen with mtime 1705385669.7131712
DEBUG 2024-01-16 12:03:26,860 autoreload File /Volumes/Programming/BNY/Blog/.venv/lib/python3.8/site-packages/django/shortcuts.py first seen with mtime 1705385666.844525
DEBUG 2024-01-16 12:03:26,860 autoreload File /Volumes/Programming/BNY/Blog/.venv/lib/python3.8/site-packages/django/contrib/auth/apps.py first seen with mtime 1705385668.1907046
DEBUG 2024-01-16 12:03:26,860 autoreload File /Library/Frameworks/Python.framework/Versions/3.8/lib/python3.8/inspect.py first seen with mtime 1571063028.0
DEBUG 2024-01-16 12:03:26,860 autoreload File /Volumes/Programming/BNY/Blog/.venv/lib/python3.8/site-packages/django/db/models/sql/__init__.py first seen with mtime 1705385669.6833816
DEBUG 2024-01-16 12:03:26,860 autoreload File /Volumes/Programming/BNY/Blog/.venv/lib/python3.8/site-packages/django/core/cache/backends/base.py first seen with mtime 1705385669.5134666
DEBUG 2024-01-16 12:03:26,860 autoreload File /Library/Frameworks/Python.framework/Versions/3.8/lib/python3.8/lib-dynload/_datetime.cpython-38-darwin.so first seen with mtime 1571063009.0
DEBUG 2024-01-16 12:03:26,860 autoreload File /Volumes/Programming/BNY/Blog/.venv/lib/python3.8/site-packages/django/db/transaction.py first seen with mtime 1705385669.5655572
DEBUG 2024-01-16 12:03:26,860 autoreload File /Volumes/Programming/BNY/Blog/.venv/lib/python3.8/site-packages/django/db/models/functions/comparison.py first seen with mtime 1705385669.6826222
DEBUG 2024-01-16 12:03:26,861 autoreload File /Library/Frameworks/Python.framework/Versions/3.8/lib/python3.8/socketserver.py first seen with mtime 1571063029.0
DEBUG 2024-01-16 12:03:26,861 autoreload File /Volumes/Programming/BNY/Blog/.venv/lib/python3.8/site-packages/django/contrib/staticfiles/utils.py first seen with mtime 1705385669.5106006
DEBUG 2024-01-16 12:03:26,861 autoreload File /Volumes/Programming/BNY/Blog/.venv/lib/python3.8/site-packages/django/db/models/utils.py first seen with mtime 1705385669.6808376
DEBUG 2024-01-16 12:03:26,861 autoreload File /Library/Frameworks/Python.framework/Versions/3.8/lib/python3.8/enum.py first seen with mtime 1571063028.0
DEBUG 2024-01-16 12:03:26,861 autoreload File /Volumes/Programming/BNY/Blog/.venv/lib/python3.8/site-packages/django/urls/__init__.py first seen with mtime 1705385669.710078
DEBUG 2024-01-16 12:03:26,861 autoreload File /Volumes/Programming/BNY/Blog/.venv/lib/python3.8/site-packages/django/db/migrations/operations/fields.py first seen with mtime 1705385669.6337628
DEBUG 2024-01-16 12:03:26,861 autoreload File /Volumes/Programming/BNY/Blog/.venv/lib/python3.8/site-packages/django/core/cache/backends/locmem.py first seen with mtime 1705385669.5140018
DEBUG 2024-01-16 12:03:26,861 autoreload File /Volumes/Programming/BNY/Blog/.venv/lib/python3.8/site-packages/django/contrib/humanize/templatetags/__init__.py first seen with mtime 1705385669.122426
DEBUG 2024-01-16 12:03:26,861 autoreload File /Volumes/Programming/BNY/Blog/.venv/lib/python3.8/site-packages/django/dispatch/dispatcher.py first seen with mtime 1705385669.684671
